No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitality,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type,Tough,Beauty,Cool,Cute,Clever,Brawl,Channel,Clash,Evasion,Alert,Athletic,Nature,Stealth,Allure,Etiquette,Intimidate,Perform
0,Egg,Normal,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,Starter,,,,,,,,,,,,,,,,,,
1,Bulbasaur,Grass,Poison,3,2,4,2,4,2,4,2,4,2,4,Overgrow,,Chlorophyll,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
2,Ivysaur,Grass,Poison,4,2,4,2,4,2,4,2,5,2,5,Overgrow,,Chlorophyll,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
3,Venusaur,Grass,Poison,5,2,5,2,5,2,5,3,6,3,6,Overgrow,,Chlorophyll,,,Yes,Ace,,,,,,,,,,,,,,,,,,
4,Mega-Venusaur,Grass,Poison,6,3,6,2,5,3,7,3,6,3,6,Thick Fat,,,,,,Pro,,,,,,,,,,,,,,,,,,
5,Charmander,Fire,,3,2,4,2,4,1,3,2,4,2,4,Blaze,,Solar Power,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
6,Charmeleon,Fire,,4,2,4,2,5,2,4,2,5,2,4,Blaze,,Solar Power,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
7,Charizard,Fire,Flying,5,2,5,3,6,2,5,3,6,2,5,Blaze,,Solar Power,,,Yes,Ace,,,,,,,,,,,,,,,,,,
8,Mega-Charizard Y,Fire,Flying,6,3,6,3,6,2,5,4,8,3,6,Drought,,,,,,Pro,,,,,,,,,,,,,,,,,,
9,Mega-Charizard X,Fire,Dragon,6,3,7,3,6,3,6,3,7,2,5,Tough Claws,,,,,,Pro,,,,,,,,,,,,,,,,,,
10,Squirtle,Water,,3,2,4,1,3,2,4,2,4,2,4,Torrent,,Rain Dish,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
11,Wartortle,Water,,4,2,4,2,4,2,5,2,4,2,5,Torrent,,Rain Dish,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
12,Blastoise,Water,,5,2,5,2,5,3,6,2,5,3,6,Torrent,,Rain Dish,,,Yes,Ace,,,,,,,,,,,,,,,,,,
13,Mega-Blastoise,Water,,6,3,6,2,5,3,7,3,6,3,6,Mega Launcher,,,,,,Pro,,,,,,,,,,,,,,,,,,
14,Caterpie,Bug,,3,1,3,2,4,1,3,1,3,1,3,Shield Dust,,Run Away,,Yes,,Starter,,,,,,,,,,,,,,,,,,
15,Metapod,Bug,,4,1,3,1,3,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
16,Butterfree,Bug,Flying,5,2,4,2,5,2,4,2,5,2,5,Compound Eyes,,Tinted Lens,,,,Amateur,,,,,,,,,,,,,,,,,,
17,Weedle,Bug,Poison,3,1,3,2,4,1,3,1,3,1,3,Shield Dust,,Run Away,,Yes,,Starter,,,,,,,,,,,,,,,,,,
18,Kakuna,Bug,Poison,4,1,3,1,3,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
19,Beedrill,Bug,Poison,5,2,5,2,5,2,4,2,4,2,5,Swarm,,Sniper,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
20,Mega-Beedrill,Bug,Poison,6,4,8,4,8,1,3,1,2,2,5,Adaptability,,,,,,Ace,,,,,,,,,,,,,,,,,,
21,Pidgey,Normal,Flying,3,2,4,2,4,1,3,1,3,1,3,Keen Eye,Tangled Feet,Big Pecks,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
22,Pidgeotto,Normal,Flying,4,2,4,2,5,2,4,2,4,2,4,Keen Eye,Tangled Feet,Big Pecks,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
